recode_id,old,new,
1,"Yes, for more than one year",Yes,
1,"Yes, for one year or less",Yes,
1,No,No,
2,1.0,Single,
2,2.0,Non-Single,
2,3.0,Single,
3,First-Generation,Non-Native,
3,Second-Generation,Non-Native,
4,1.0,Public,
4,2.0,Private,
4,7.0,,
4,8.0,,
4,9.0,,
5,1.0,Rural,
5,2.0,Rural,
5,3.0,Urban,
5,4.0,Urban,
5,5.0,Urban,
5,7.0,,
5,8.0,,
5,9.0,,
