CODE,CNT,MATHLP_perc,READLP_perc,SCIELP_perc,LPANY_perc,LPALL_perc,Math,Oher
CHN,China-Shanghai,0.035860817,0.026307722,0.026319775,0.043898928,0.016337636,0.019523181,0.00803811
HKG,Hong Kong-China,0.080237474,0.06248902,0.05214618,0.098414237,0.038003784,0.042233691,0.018176763
KOR,Korea,0.08934385,0.072462738,0.061207573,0.109055098,0.043537184,0.045806666,0.019711248
SGP,Singapore,0.079356284,0.093140158,0.093402273,0.123871097,0.057377337,0.021978947,0.044514813
EST,Estonia,0.098450265,0.083777366,0.042149994,0.128636201,0.028918235,0.06953203,0.030185936
JPN,Japan,0.105503615,0.09083559,0.076872089,0.1309644,0.054961007,0.050542608,0.025460785
MAC,Macao-China,0.102152322,0.103713541,0.081822577,0.144090754,0.053470617,0.048681705,0.041938432
FIN,Finland,0.116301757,0.10773294,0.070027494,0.150467667,0.054177473,0.062124283,0.03416591
TWN,Chinese Taipei,0.126571866,0.111931508,0.092847378,0.150964919,0.073509498,0.053062369,0.024393053
VNM,Vietnam,0.134284152,0.082459954,0.060182869,0.154720371,0.040552349,0.093731803,0.020436219
POL,Poland,0.13898108,0.097461082,0.081231614,0.163373079,0.05567865,0.08330243,0.024391998
CAN,Canada,0.129524517,0.100354238,0.098927796,0.163425187,0.062292551,0.067231965,0.033900671
CHE,Switzerland,0.117663007,0.129489488,0.120863977,0.177154322,0.073423034,0.044239973,0.059491315
LIE,Liechtenstein,0.126790962,0.122308482,0.103963595,0.180403012,0.061773189,0.065017772,0.053612051
IRL,Ireland,0.16327497,0.089233346,0.104561729,0.181061392,0.066379046,0.096895924,0.017786422
NLD,Netherlands,0.14848274,0.132557202,0.124827351,0.186063421,0.087414445,0.061068295,0.037580681
QUC,Massachusetts (USA),0.171092417,0.104263892,0.105483054,0.196503618,0.068354537,0.10273788,0.025411201
DEU,Germany,0.174654452,0.142416081,0.117348461,0.208221524,0.086999611,0.087654842,0.033567071
DNK,Denmark,0.157877014,0.138088597,0.160803033,0.21669608,0.091398872,0.066478142,0.058819066
QUB,Connecticut (USA),0.206022628,0.128054627,0.127888918,0.223613154,0.090797344,0.115225284,0.017590525
AUS,Australia,0.190662895,0.136132862,0.130129602,0.223786293,0.090014178,0.100648718,0.033123398
BEL,Belgium,0.185215973,0.155250927,0.172606666,0.235233146,0.110029252,0.07518672,0.050017173
GBR,United Kingdom,0.211714872,0.158602159,0.144602396,0.238140339,0.113998209,0.097716663,0.026425467
LVA,Latvia,0.191230684,0.165208964,0.117990294,0.243741545,0.084275851,0.106954833,0.052510861
AUT,Austria,0.181414031,0.190282961,0.152044946,0.249993102,0.107188765,0.074225265,0.068579072
CZE,Czech Republic,0.205941608,0.157711157,0.132202101,0.251165508,0.09114175,0.114799858,0.0452239
