CODE,CNT,MATH_mean,MATH_quant_05,MATH_quant_25,MATH_quant_50,MATH_quant_75,MATH_quant_95,READ_mean,READ_quant_05,READ_quant_25,READ_quant_50,READ_quant_75,READ_quant_95,SCIE_mean,SCIE_quant_05,SCIE_quant_25,SCIE_quant_50,SCIE_quant_75,SCIE_quant_95,iso3c,GDP
ALB,Albania,394.329333356,240.31,341.5719,395.86386,449.92212,533.34632,393.964251939,202.23228,331.26524,400.97168,468.23746,555.70332,397.373213559,231.29428,345.15106,402.839550522,458.72806,539.29506,ALB,10361.4332161
ARE,United Arab Emirates,434.007164658,302.85868,370.39256,428.03396,492.06264,586.70354,441.703736076,285.442287754,377.69786,445.54242,505.9795,589.38204,448.370295863,305.853470417,383.38306,446.41924,510.29466,599.53376,ARE,61172.9947875
ARG,Argentina,388.431709907,271.3896,338.84564,386.82816,437.9265,509.6666,395.979122702,243.2217,334.64678,399.0296,460.54496,538.06962,405.632004986,271.29802,352.98396,407.25476,462.36478,534.91232,ARG,
AUS,Australia,504.150766311,353.33386,438.08226,503.66878,570.19006,659.76788,511.803997667,350.43174,450.51448,516.312789248,577.62278,658.6459,521.494746315,358.67214,455.0914,524.4685,589.64938,677.11672,AUS,42596.2941187
AUT,Austria,505.54074325,358.31906,439.71802,505.14878,571.1248,649.580602272,489.609335384,333.18992,427.73926,496.7655,556.05046,622.37132,505.781247068,352.42448,442.503858274,509.64192,569.88064,645.31892,AUT,45858.2468364
BEL,Belgium,514.745238583,346.08972,445.48218,518.07914,588.10562,674.10032,509.108048529,328.61882,445.06126,517.7175,582.83542,656.02466,505.457458843,329.95152,440.26484,514.30436,576.78106,652.21932,BEL,41930.6618333
BGR,Bulgaria,438.738259877,297.79562,373.58624,434.34334,501.56568,594.64872,436.125725279,240.40486,354.28108,443.45738,521.6274,612.89362,446.468709376,288.770136465,374.6177,448.09772,517.94108,605.31518,BGR,16097.8343137
BRA,Brazil,388.508963338,279.179,336.35304,381.06404,434.49914,524.70012,406.533157797,273.80264,350.11094,404.78436,461.89526,542.73816,401.619684839,284.53936,350.55952,398.20962,449.9627,530.34316,BRA,15246.2607663
CAN,Canada,518.070399596,375.37778,458.41252,518.39072,578.6805,659.37842,523.124002967,367.51316,467.35534,528.22016,584.53676,659.74196,525.441292143,374.15142,469.26518,528.10518,585.91944,663.96868,CAN,42143.9687843
CHE,Switzerland,530.93100395,377.79248,467.05874,534.20316,595.03818,676.51502,509.040249713,356.04536,452.91958,514.9107,571.11292,641.05666,515.297523464,362.86834,454.99816,519.99256,578.646,650.16786,CHE,57205.3721892
