CODE,CNT,READ_mean,READ_quant_05,READ_quant_25,READ_quant_50,READ_quant_75,READ_quant_95,READLP_perc,LPANY_perc,LPALL_perc,iso3c,GDP
NLD,Netherlands,511.229965245,353.8801,451.80752,520.12332,577.46238,643.70306,0.1325572017,0.186063421319,0.0874144453686,NLD,46448.8847992
NOR,Norway,503.936685996,334.55322,445.06126,510.49998,571.8278,648.87588,0.149410885796,0.266483617523,0.109610604338,NOR,65399.8360847
NZL,New Zealand,512.186793323,340.32722,445.06126,518.21184,585.64224,670.40168,0.153846463559,0.253570142721,0.113649329047,NZL,33065.5112359
PER,Peru,384.151223462,242.90396,321.22296,384.6089,443.07014,530.6031,0.601994570981,0.796200142958,0.557709149992,PER,11051.2537714
POL,Poland,518.186880549,372.88622,464.9495,523.53376,576.67308,646.81066,0.0974610818894,0.163373078513,0.0556786504789,POL,23598.5592764
PRT,Portugal,487.757687223,326.85456,432.82352,493.97994,552.04948,623.2991,0.180605178907,0.283706353889,0.130531887071,PRT,27125.1544348
QAT,Qatar,387.504130932,214.020861667,311.77798,385.224274978,461.81584,569.011279675,0.577543386322,0.734357949162,0.535278333292,QAT,135421.723986
QRS,Perm(Russian Federation),482.309621403,324.00304,424.61168,490.69194,546.25102,615.99142,0.193427135019,0.298628021952,0.113706331567,,
QUA,Florida (USA),492.137602029,352.91778,437.58938,496.20948,550.11604,623.8551,0.169297379482,0.326029847164,0.133741913066,,
QUB,Connecticut (USA),521.248559061,353.07816,457.4914,527.267,589.77924,667.8416,0.128054627445,0.22361315381,0.0907973438403,,
QUC,Massachusetts (USA),527.091021267,365.10732,467.19496,527.7418,592.87702,670.80878,0.104263892276,0.19650361762,0.0683545368236,,
ROU,Romania,437.599488277,300.22998,377.85826,437.98654,496.92434,578.82574,0.368835485473,0.510334071347,0.262735277199,ROU,18910.2782732
RUS,Russian Federation,475.149374067,330.4633,417.57278,476.66944,535.28006,612.8142,0.213142186176,0.309637700762,0.119021867379,RUS,25316.6357857
SGP,Singapore,542.215834174,374.52116,476.8283,548.91314,612.33762,690.85742,0.0931401576503,0.123871096605,0.0573773367899,SGP,77173.2382951
SRB,Serbia,446.130195516,294.69654,387.366315569,447.4671,506.65064,589.38204,0.325537405329,0.464305937523,0.242119476689,SRB,13000.0732947
SVK,Slovak Republic,462.76703277,275.2895,395.80866,472.85674,535.19988,614.00566,0.278652782162,0.352818676209,0.193957572697,SVK,26091.2798285
SVN,Slovenia,481.316283492,329.01982,421.663440922,484.61254,547.38944,618.61266,0.204510902066,0.270176300097,0.0951981171285,SVN,28481.7513144
SWE,Sweden,483.335005574,304.56048,418.99804,490.69192,557.60964,637.575348877,0.219530043351,0.31665422723,0.159318307115,SWE,44433.7266902
THA,Thailand,441.21993431,316.42924,392.0754,442.27582,491.04646,562.22544,0.321187560444,0.542060770138,0.245544457612,THA,14853.3296826
TUN,Tunisia,404.07846725,261.1731,350.59212,408.89352,462.2229,532.03286,0.490464711684,0.735804523214,0.420613080262,TUN,10672.5676007
TUR,Turkey,475.491466081,340.40742,419.47922,474.17188,531.15912,613.68794,0.20699772358,0.455103213397,0.160308120459,TUR,18449.250016
TWN,Chinese Taipei,523.118903908,364.38558,468.5675,532.31288,585.96652,650.7822,0.111931507992,0.150964919125,0.0735094978183,,
URY,Uruguay,411.348919041,257.5665,350.91292,414.90812,474.09166,555.9416,0.464784846191,0.626393445527,0.379613617102,URY,18817.8749217
USA,United States of America,497.581718117,349.309,437.82768,500.18102,559.17804,639.58248,0.158571471931,0.279704259217,0.124301859852,USA,51433.0470905
VNM,Vietnam,508.218990432,381.22642,466.3128,512.82562,556.25934,614.51224,0.082459954169,0.154720371322,0.0405523489981,VNM,5000.76485438
