CODE,CNT,SCIE_mean,SCIE_quant_05,SCIE_quant_25,SCIE_quant_50,SCIE_quant_75,SCIE_quant_95,SCIELP_perc,LPANY_perc,LPALL_perc,iso3c,GDP
ALB,Albania,397.373213559,231.29428,345.15106,402.839550522,458.72806,539.29506,0.535075044006,0.698122592169,0.417667164439,ALB,10361.4332161
ARE,United Arab Emirates,448.370295863,305.853470417,383.38306,446.41924,510.29466,599.53376,0.354183543983,0.504743996015,0.283711907475,ARE,61172.9947875
ARG,Argentina,405.632004986,271.29802,352.98396,407.25476,462.36478,534.91232,0.511770042666,0.723665739287,0.435714348627,ARG,
AUS,Australia,521.494746315,358.67214,455.0914,524.4685,589.64938,677.11672,0.130129602228,0.223786293024,0.0900141776578,AUS,42596.2941187
AUT,Austria,505.781247068,352.42448,442.503858274,509.64192,569.88064,645.31892,0.15204494615,0.249993102467,0.107188765383,AUT,45858.2468364
BEL,Belgium,505.457458843,329.95152,440.26484,514.30436,576.78106,652.21932,0.172606665696,0.235233145651,0.110029252344,BEL,41930.6618333
BGR,Bulgaria,446.468709376,288.770136465,374.6177,448.09772,517.94108,605.31518,0.370457128498,0.503322214802,0.306261722922,BGR,16097.8343137
BRA,Brazil,401.619684839,284.53936,350.55952,398.20962,449.9627,530.34316,0.55994556283,0.72504817179,0.445945485501,BRA,15246.2607663
CAN,Canada,525.441292143,374.15142,469.26518,528.10518,585.91944,663.96868,0.0989277962602,0.163425187162,0.062292551396,CAN,42143.9687843
CHE,Switzerland,515.297523464,362.86834,454.99816,519.99256,578.646,650.16786,0.120863977252,0.177154321796,0.0734230344478,CHE,57205.3721892
CHL,Chile,444.933919695,325.38232,390.37672,441.555538756,497.42634,573.89036,0.341121798239,0.553749242646,0.251792430656,CHL,21370.0993066
CHN,China-Shanghai,580.117830848,439.51882,527.7322,588.52485553,637.20626,694.834,0.0263197754239,0.0438989278176,0.0163376359208,CHN,11219.92767
COL,Colombia,398.678631616,280.43642,350.37298,397.92988,444.92728,517.75456,0.567731709624,0.769493132211,0.449094262963,COL,12058.4613037
CRI,Costa Rica,429.350967542,326.1283,384.68856,427.76948,472.5289,540.88026,0.38942618081,0.641499908101,0.241667152177,CRI,13839.4689226
CZE,Czech Republic,508.299079354,364.08058,448.84374,511.78664,569.88064,642.05518,0.132202101189,0.251165507777,0.0911417498897,CZE,28727.9072629
DEU,Germany,524.120799257,365.2928,462.7378,531.08916,590.95486,664.43494,0.117348461407,0.208221523659,0.0869996107723,DEU,43600.1134008
DNK,Denmark,498.474201429,344.21858,441.10406,502.18204,561.48828,637.76578,0.16080303279,0.216696079931,0.0913988716986,DNK,44246.3306157
ESP,Spain,496.445822824,355.78144,441.47706,500.2238,555.52032,626.7624,0.149450474559,0.275627386656,0.105837608022,ESP,32235.5959173
EST,Estonia,541.404756164,416.139291358,490.33942,540.787,595.43082,664.99442,0.042149994055,0.128636201218,0.0289182348466,EST,25921.028597
FIN,Finland,545.441939988,391.77548,488.3812,550.4849,606.3409,682.71168,0.0700274935355,0.150467666686,0.0541774734979,FIN,40437.5938723
FRA,France,498.970894151,326.59456,435.2294,505.35246,569.13464,643.36068,0.183478864795,0.266873952389,0.129222333572,FRA,37462.3250299
