CODE,CNT,SCIE_mean,SCIE_quant_05,SCIE_quant_25,SCIE_quant_50,SCIE_quant_75,SCIE_quant_95,SCIELP_perc,LPANY_perc,LPALL_perc,iso3c,GDP
GBR,United Kingdom,514.129321055,346.7363,449.30996,517.6613,583.86798,665.08766,0.144602396341,0.238140338972,0.113998209475,GBR,37569.3152812
GRC,Greece,466.722029489,323.9836,410.33196,469.6382,524.65498,600.18648,0.248855095892,0.394745963166,0.166377669569,GRC,25980.0865157
HKG,Hong Kong-China,554.937434396,406.88174,507.96344,562.88698,610.25738,670.96232,0.0521461796966,0.0984142370486,0.0380037838836,HKG,51274.060314
HRV,Croatia,491.356582834,357.27342,434.48342,492.11116,548.71316,621.91346,0.162856345515,0.324218582911,0.115363521966,HRV,21016.0187293
HUN,Hungary,494.302351222,348.41478,432.71166,496.5871,556.91904,633.75606,0.179120317269,0.308296762854,0.134836299168,HUN,22701.4502235
IDN,Indonesia,381.911484866,280.43638,339.36964,380.02612,421.8016,490.24616,0.69123661955,0.81209470814,0.512919116072,IDN,9453.69822832
IRL,Ireland,522.003959197,370.51476,464.22976,525.68072,584.05444,658.28048,0.104561729453,0.181061391961,0.0663790455344,IRL,46063.3445925
ISL,Iceland,478.154596195,316.43044,416.29988,480.626479858,546.1022,627.442437875,0.230527765095,0.291019073055,0.140653223136,ISL,40278.3870438
ISR,Israel,470.072661823,293.86422,398.150724954,473.4614,545.26298,632.357294825,0.286983127532,0.374510054699,0.191353331913,ISR,31993.6238428
ITA,Italy,493.541481805,341.51434,432.89818,496.9601,557.75832,635.24804,0.181619926508,0.294429714249,0.121396989505,ITA,35899.7799659
JOR,Jordan,409.367214687,280.52966,358.01938,410.4252,460.96606,535.378596783,0.498397552392,0.722858292852,0.424754051194,JOR,10432.1751003
JPN,Japan,546.735599775,384.12908,488.0082,554.58784,610.91008,685.50914,0.076872089147,0.130964400078,0.0549610074114,JPN,35735.6167173
KAZ,Kazakhstan,424.707522974,316.05744,377.5084,423.75978,470.10444,537.80306,0.422311395039,0.64641093982,0.317662879947,KAZ,23248.9925905
KOR,Korea,537.787621535,400.91382,487.35544,542.18574,592.81984,656.88176,0.0612075726449,0.109055097718,0.0435371841662,KOR,32222.5939425
LIE,Liechtenstein,524.694992276,396.088222994,468.379468863,525.447819811,591.537974712,654.44203272,0.103963594939,0.180403012354,0.0617731893887,LIE,
LTU,Lithuania,495.700086397,358.5789,441.943304796,498.82508,552.72286,627.6949,0.153583932013,0.290930210007,0.124075899604,LTU,24475.050751
LUX,Luxembourg,491.21517567,323.983149554,421.05558,494.251357474,564.465444762,643.99632673,0.220159150041,0.300546229445,0.151262472732,LUX,90788.2865762
LVA,Latvia,502.186192088,376.66914,450.3357,503.860487552,555.52032,621.72698,0.117990294002,0.243741544864,0.0842758509376,LVA,21122.2982149
MAC,Macao-China,520.570875334,390.236824404,471.712971017,524.235322022,573.843616084,634.68854,0.0818225771699,0.144090754091,0.0534706172349,MAC,127938.918712
MEX,Mexico,414.920147715,308.3178,371.07422,414.8079,458.1686,524.282,0.470271079129,0.622136519119,0.32720212259,MEX,16289.5652781
MNE,Montenegro,410.097602263,284.16636,353.823206055,407.25475211,464.8825,544.88994,0.515917830093,0.624216501208,0.378966481472,MNE,13812.6959433
MYS,Malaysia,419.502648534,300.57816,365.66584,418.53786,470.38418,544.51698,0.458577527373,0.626815702638,0.38358516634,MYS,23124.6604806
NLD,Netherlands,522.055821726,359.51138,458.82136,528.57144,589.27638,660.89146,0.124827351363,0.186063421319,0.0874144453686,NLD,46448.8847992
NOR,Norway,494.523934741,332.749,431.68594,499.01158,561.30176,644.29316,0.188646158232,0.266483617523,0.109610604338,NOR,65399.8360847
NZL,New Zealand,515.636318701,346.64304,446.23274,518.03432,589.649388789,676.091,0.160250344669,0.253570142721,0.113649329047,NZL,33065.5112359
PER,Peru,373.113448374,257.8702,323.51734,370.14174,421.42856,496.49386,0.695270636248,0.796200142958,0.557709149992,PER,11051.2537714
POL,Poland,525.816445438,387.39276,469.17196,527.3592,581.62998,662.38344,0.0812316141504,0.163373078513,0.0556786504789,POL,23598.5592764
PRT,Portugal,489.274731982,339.46288,431.96568,492.5774,550.1119,623.40544,0.181108339084,0.283706353889,0.130531887071,PRT,27125.1544348
QAT,Qatar,383.642553387,235.879042176,312.14098,371.524950878,448.867046317,568.963761336,0.63893229377,0.734357949162,0.535278333292,QAT,135421.723986
QRS,Perm(Russian Federation),479.859030777,345.33756,427.58298,484.27824,536.31106,607.55318,0.193533096117,0.298628021952,0.113706331567,,
QUA,Florida (USA),484.996823663,340.30212,422.73408,484.83774,546.66166,627.1354,0.209378770551,0.326029847164,0.133741913066,,
QUB,Connecticut (USA),520.760148398,359.13836,457.2361,523.3495,586.47892,674.50578,0.127888918118,0.22361315381,0.0907973438403,,
QUC,Massachusetts (USA),527.406936739,373.59194,462.45804,529.22416,590.39538,678.23574,0.105483053572,0.19650361762,0.0683545368236,,
ROU,Romania,438.768056212,324.72958,385.24804,434.20366,488.94068,564.8452,0.374807531545,0.510334071347,0.262735277199,ROU,18910.2782732
RUS,Russian Federation,486.295489965,355.12868,430.75344,486.98248,541.71952,621.54046,0.18044408413,0.309637700762,0.119021867379,RUS,25316.6357857
SGP,Singapore,551.493156643,376.38942,479.14954,559.53004,625.6434,707.42262,0.0934022731653,0.123871096605,0.0573773367899,SGP,77173.2382951
SRB,Serbia,444.804110871,310.18278,388.232,441.75682,501.3428,582.1895,0.347071723014,0.464305937523,0.242119476689,SRB,13000.0732947
SVK,Slovak Republic,471.193177266,306.73256,404.73704,473.0884,540.22752,626.38942,0.266354157479,0.352818676209,0.193957572697,SVK,26091.2798285
SVN,Slovenia,514.142554966,368.5565,450.98844,515.390428679,577.15406,653.80454,0.121410300658,0.270176300097,0.0951981171285,SVN,28481.7513144
SWE,Sweden,484.798965809,321.09288,420.49608,488.1947,552.25662,636.36702,0.215999293636,0.31665422723,0.159318307115,SWE,44433.7266902
THA,Thailand,443.999935089,331.53674,395.1324,440.07834,489.87316,568.4819,0.331383039658,0.542060770138,0.245544457612,THA,14853.3296826
TUN,Tunisia,398.046450919,275.86722,348.41476,398.02314,447.72474,515.14362,0.558885026294,0.735804523214,0.420613080262,TUN,10672.5676007
TUR,Turkey,463.412909073,347.01604,409.58598,456.76986,515.7031,596.64304,0.253649194578,0.455103213397,0.160308120459,TUR,18449.250016
TWN,Chinese Taipei,523.314904451,384.2223,470.29092,529.78366,580.884,644.19992,0.0928473781918,0.150964919125,0.0735094978183,,
URY,Uruguay,415.84293549,266.26258,355.68816,415.18094,477.0981,563.53972,0.477251621667,0.626393445527,0.379613617102,URY,18817.8749217
USA,United States of America,497.409811483,346.64306,431.9657,497.79934,561.2085,647.46364,0.177737850593,0.279704259217,0.124301859852,USA,51433.0470905
VNM,Vietnam,528.423258987,402.7788,481.48076,530.9959,576.40806,647.27714,0.0601828694741,0.154720371322,0.0405523489981,VNM,5000.76485438
