CODE,CNT,MATH_mean,MATH_quant_05,MATH_quant_25,MATH_quant_50,MATH_quant_75,MATH_quant_95,MATHLP_perc,LPANY_perc,LPALL_perc,iso3c,GDP
ALB,Albania,394.329333356,240.31,341.5719,395.86386,449.92212,533.34632,0.625566450591,0.698122592169,0.417667164439,ALB,10361.4332161
ARE,United Arab Emirates,434.007164658,302.85868,370.39256,428.03396,492.06264,586.70354,0.46437936625,0.504743996015,0.283711907475,ARE,61172.9947875
ARG,Argentina,388.431709907,271.3896,338.84564,386.82816,437.9265,509.6666,0.673406325157,0.723665739287,0.435714348627,ARG,
AUS,Australia,504.150766311,353.33386,438.08226,503.66878,570.19006,659.76788,0.19066289517,0.223786293024,0.0900141776578,AUS,42596.2941187
AUT,Austria,505.54074325,358.31906,439.71802,505.14878,571.1248,649.580602272,0.181414030572,0.249993102467,0.107188765383,AUT,45858.2468364
BEL,Belgium,514.745238583,346.08972,445.48218,518.07914,588.10562,674.10032,0.185215972595,0.235233145651,0.110029252344,BEL,41930.6618333
BGR,Bulgaria,438.738259877,297.79562,373.58624,434.34334,501.56568,594.64872,0.442945036267,0.503322214802,0.306261722922,BGR,16097.8343137
BRA,Brazil,388.508963338,279.179,336.35304,381.06404,434.49914,524.70012,0.689565590475,0.72504817179,0.445945485501,BRA,15246.2607663
CAN,Canada,518.070399596,375.37778,458.41252,518.39072,578.6805,659.37842,0.129524516526,0.163425187162,0.062292551396,CAN,42143.9687843
CHE,Switzerland,530.93100395,377.79248,467.05874,534.20316,595.03818,676.51502,0.117663007292,0.177154321796,0.0734230344478,CHE,57205.3721892
CHL,Chile,422.632355406,305.4292,366.1863,414.792,474.77022,559.83018,0.524020277603,0.553749242646,0.251792430656,CHL,21370.0993066
CHN,China-Shanghai,612.675536305,437.77068,548.4577,622.45678,683.68126,757.29086,0.0358608173896,0.0438989278176,0.0163376359208,CHN,11219.92767
COL,Colombia,376.488601073,269.2086,327.08368,370.93784,419.46566,501.0983,0.752173691899,0.769493132211,0.449094262963,COL,12058.4613037
CRI,Costa Rica,406.999866989,308.15548,363.53792,402.25112,446.72848,522.20752,0.613620951219,0.641499908101,0.241667152177,CRI,13839.4689226
CZE,Czech Republic,498.957882318,348.50444,432.55178,500.70884,564.5817,649.09644,0.2059416076,0.251165507777,0.0911417498897,CZE,28727.9072629
